POSTE;NOM;LON;LAT;ALT;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
22168001;PLOUMANAC'H;-3.473;48.826;55;01/03/2020;10,7;4,4;11,1;18,1;220;12,2;230;;
22168001;PLOUMANAC'H;-3.473;48.826;55;02/03/2020;0,6;6,4;10;21,5;280;10,1;280;;
22168001;PLOUMANAC'H;-3.473;48.826;55;03/03/2020;2,2;4,5;10,6;13,2;260;7,8;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;04/03/2020;6,2;5,6;12,6;17;240;9,4;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;05/03/2020;11,1;6,4;11,4;24,7;310;14,3;330;;
22168001;PLOUMANAC'H;-3.473;48.826;55;06/03/2020;0,6;4,5;10,3;18,6;300;11,1;290;;
22168001;PLOUMANAC'H;-3.473;48.826;55;07/03/2020;1,4;7,2;14,8;16,2;190;10,1;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;08/03/2020;3,8;7,9;12,3;22,7;280;11,7;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;09/03/2020;4,6;6,5;11,7;18,5;280;10,9;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;10/03/2020;0;9,8;13,5;18,4;240;12,2;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;11/03/2020;1,2;11,6;13,2;18,9;240;11,5;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;12/03/2020;1,8;6,1;11,8;22,5;280;12,6;270;;
22168001;PLOUMANAC'H;-3.473;48.826;55;13/03/2020;2,6;5,5;12,2;13,1;200;8,3;260;;
22168001;PLOUMANAC'H;-3.473;48.826;55;14/03/2020;0,4;7,4;11,8;14;270;8,3;270;;
22168001;PLOUMANAC'H;-3.473;48.826;55;15/03/2020;2;8;13,8;17,9;220;9,3;220;;
22168001;PLOUMANAC'H;-3.473;48.826;55;16/03/2020;0;7,7;12,3;10,1;350;6,8;10;;
22168001;PLOUMANAC'H;-3.473;48.826;55;17/03/2020;0;4,7;13,9;7,1;280;4,7;290;;
22168001;PLOUMANAC'H;-3.473;48.826;55;18/03/2020;0,2;5,9;14,1;8,3;240;5,5;240;;
22168001;PLOUMANAC'H;-3.473;48.826;55;19/03/2020;0;6,6;12,7;12;80;7,7;60;;
22168001;PLOUMANAC'H;-3.473;48.826;55;20/03/2020;0;8,5;9,7;20,2;80;11,9;70;;
22168001;PLOUMANAC'H;-3.473;48.826;55;21/03/2020;0;7,7;9,1;18,9;90;11,4;80;;
22168001;PLOUMANAC'H;-3.473;48.826;55;22/03/2020;0;7;8,7;15,4;60;10,7;60;;
22168001;PLOUMANAC'H;-3.473;48.826;55;23/03/2020;0;7,3;12,5;10,7;70;7;50;;
22168001;PLOUMANAC'H;-3.473;48.826;55;24/03/2020;0;7;15,4;8,5;130;5,7;60;;
22168001;PLOUMANAC'H;-3.473;48.826;55;25/03/2020;0;4,7;12;11,1;50;8,6;50;;
22168001;PLOUMANAC'H;-3.473;48.826;55;26/03/2020;0;6,2;11,1;15,9;50;12,2;60;;
22168001;PLOUMANAC'H;-3.473;48.826;55;27/03/2020;0;6,8;11,2;11,9;50;9,5;50;;
22168001;PLOUMANAC'H;-3.473;48.826;55;28/03/2020;0;8;10,2;24,5;60;18,2;60;;
22168001;PLOUMANAC'H;-3.473;48.826;55;29/03/2020;0;6,1;8,4;27,9;60;19,9;50;;
22168001;PLOUMANAC'H;-3.473;48.826;55;30/03/2020;0,4;5,6;8,1;23;40;17,1;40;;
22168001;PLOUMANAC'H;-3.473;48.826;55;31/03/2020;0,8;5,9;9,9;19,2;70;14,5;60;;
22372001;ST BRIEUC;-2.852;48.535;135;01/01/2020;1;7;9,5;4,9;240;3;230;0;0,1
22372001;ST BRIEUC;-2.852;48.535;135;02/01/2020;0;7,8;11,8;12,6;220;7,9;230;6;0,9
22372001;ST BRIEUC;-2.852;48.535;135;03/01/2020;0,6;7,4;10,6;11,9;300;7,7;260;15;1
22372001;ST BRIEUC;-2.852;48.535;135;04/01/2020;0;2,8;9,8;6,5;280;4,6;280;215;0,8
22372001;ST BRIEUC;-2.852;48.535;135;05/01/2020;0;4,9;7,1;5,9;190;3,6;210;0;1
22372001;ST BRIEUC;-2.852;48.535;135;06/01/2020;0,6;0,5;10,9;14,8;210;8,9;230;65;0,3
22372001;ST BRIEUC;-2.852;48.535;135;07/01/2020;0;6;14,1;12,5;230;7,1;220;45;0,2
22372001;ST BRIEUC;-2.852;48.535;135;08/01/2020;2;11,5;12,8;15,5;200;7,6;210;5;0,6
22372001;ST BRIEUC;-2.852;48.535;135;09/01/2020;3,8;8,5;13,5;19,6;250;14;250;189;0,9
22372001;ST BRIEUC;-2.852;48.535;135;10/01/2020;0,6;6,4;9,7;14,8;320;9,4;320;97;1,3
22372001;ST BRIEUC;-2.852;48.535;135;11/01/2020;0;3,6;10,5;15,5;220;7,9;210;52;1
22372001;ST BRIEUC;-2.852;48.535;135;12/01/2020;0,2;8;12,1;14,8;230;8,5;270;286;1,2
22372001;ST BRIEUC;-2.852;48.535;135;13/01/2020;14,3;4,7;11,8;19,3;210;10,4;220;101;0,4
22372001;ST BRIEUC;-2.852;48.535;135;14/01/2020;11,2;9,8;13,3;25,3;210;13,3;220;0;1
22372001;ST BRIEUC;-2.852;48.535;135;15/01/2020;11,7;6,9;11,8;24,6;210;11,9;220;242;1,2
22372001;ST BRIEUC;-2.852;48.535;135;16/01/2020;10,1;4,7;13,5;16,5;220;9,2;200;177;0,6
22372001;ST BRIEUC;-2.852;48.535;135;17/01/2020;1,2;5,2;8,8;20;260;12,5;260;362;1,2
22372001;ST BRIEUC;-2.852;48.535;135;18/01/2020;0;2,5;9,6;10,4;70;7,2;60;422;0,9
22372001;ST BRIEUC;-2.852;48.535;135;19/01/2020;0;4,1;7,9;10,1;80;6,7;60;267;1,2
22372001;ST BRIEUC;-2.852;48.535;135;20/01/2020;0;3;7,6;10,7;80;7,3;60;304;0,7
22372001;ST BRIEUC;-2.852;48.535;135;21/01/2020;0;2,5;6,6;7,1;60;4,9;50;434;0,7
22372001;ST BRIEUC;-2.852;48.535;135;22/01/2020;0;0,5;6,7;12,2;70;8,5;60;402;0,5
22372001;ST BRIEUC;-2.852;48.535;135;23/01/2020;0;1,5;6,1;7,8;40;6,1;50;407;0,7
22372001;ST BRIEUC;-2.852;48.535;135;24/01/2020;0;-0,8;4,5;6;150;4,1;150;218;0,2
22372001;ST BRIEUC;-2.852;48.535;135;25/01/2020;0;0,9;8,8;8,4;180;5,5;190;46;0,2
22372001;ST BRIEUC;-2.852;48.535;135;26/01/2020;4,2;6;11,2;13,8;220;7,2;220;7;0,6
22372001;ST BRIEUC;-2.852;48.535;135;27/01/2020;8;7,3;10,3;18,7;240;11,2;250;106;1,1
22372001;ST BRIEUC;-2.852;48.535;135;28/01/2020;3,2;3,5;8,9;19,7;260;12,7;270;215;1,2
22372001;ST BRIEUC;-2.852;48.535;135;29/01/2020;0,6;5,6;11,7;11,6;270;7,2;280;429;1,1
22372001;ST BRIEUC;-2.852;48.535;135;30/01/2020;0;6,4;14,4;13;250;8;250;24;0,2
22372001;ST BRIEUC;-2.852;48.535;135;31/01/2020;8,3;8,8;13,7;17,3;240;9,1;230;262;0,5
22372001;ST BRIEUC;-2.852;48.535;135;01/02/2020;2,8;9,6;14;13,5;260;8,9;250;52;1
22372001;ST BRIEUC;-2.852;48.535;135;02/02/2020;2,8;11,1;14,6;19,2;260;12;260;57;0,9
22372001;ST BRIEUC;-2.852;48.535;135;03/02/2020;7,7;7,6;13,2;13,8;320;8;330;0;0,8
22372001;ST BRIEUC;-2.852;48.535;135;04/02/2020;1;5,5;10;16,2;320;9,7;330;328;1,4
22372001;ST BRIEUC;-2.852;48.535;135;05/02/2020;0;6,4;10,3;5,4;170;3,6;50;32;1,2
22372001;ST BRIEUC;-2.852;48.535;135;06/02/2020;0;0,7;10,1;8,5;130;5,4;120;531;1,3
22372001;ST BRIEUC;-2.852;48.535;135;07/02/2020;1,6;1,7;11,6;11,4;180;7,2;190;87;0,6
22372001;ST BRIEUC;-2.852;48.535;135;08/02/2020;0;7,7;11,8;13,8;220;7,5;260;275;1,5
22372001;ST BRIEUC;-2.852;48.535;135;09/02/2020;4,2;6,9;13,7;27,6;270;16,9;270;0;0,8
22372001;ST BRIEUC;-2.852;48.535;135;10/02/2020;3,8;7,2;11,8;27,8;260;18,3;270;163;2,4
22372001;ST BRIEUC;-2.852;48.535;135;11/02/2020;1,4;4,1;9,5;21;310;13,5;290;386;1,7
22372001;ST BRIEUC;-2.852;48.535;135;12/02/2020;3,8;4;11,6;15;200;7,8;190;337;1,4
22372001;ST BRIEUC;-2.852;48.535;135;13/02/2020;4,8;6;10,5;25;260;15,5;270;81;1,2
22372001;ST BRIEUC;-2.852;48.535;135;14/02/2020;0;6,5;12,6;14,8;220;8,3;230;284;1,1
22372001;ST BRIEUC;-2.852;48.535;135;15/02/2020;8,9;11,1;13,8;24,4;200;12,1;220;0;1,3
22372001;ST BRIEUC;-2.852;48.535;135;16/02/2020;6,9;8;14,7;26,2;240;13,8;220;0;1,2
22372001;ST BRIEUC;-2.852;48.535;135;17/02/2020;2,8;5,5;10,7;18,3;280;11,6;260;394;1,7
22372001;ST BRIEUC;-2.852;48.535;135;18/02/2020;1,4;4,4;11,6;18,9;250;11,1;270;386;1,4
22372001;ST BRIEUC;-2.852;48.535;135;19/02/2020;0,8;5,8;12,2;16,9;270;11;260;84;1,4
22372001;ST BRIEUC;-2.852;48.535;135;20/02/2020;3,4;6,7;11;19,8;310;11,3;290;222;1,5
22372001;ST BRIEUC;-2.852;48.535;135;21/02/2020;0;3,3;11,8;12,9;250;7,5;240;496;1,4
22372001;ST BRIEUC;-2.852;48.535;135;22/02/2020;0;7;12,4;17,3;270;11,6;260;111;1
22372001;ST BRIEUC;-2.852;48.535;135;23/02/2020;0;10,8;13,9;15,5;250;9,8;260;14;1,2
22372001;ST BRIEUC;-2.852;48.535;135;24/02/2020;3,8;10,5;12,5;18,7;230;10,8;250;87;1,6
22372001;ST BRIEUC;-2.852;48.535;135;25/02/2020;5,4;4,2;11,5;19,7;270;13,6;280;352;2
22372001;ST BRIEUC;-2.852;48.535;135;26/02/2020;4,6;2,6;11,4;20,9;310;10,7;300;286;1,9
22372001;ST BRIEUC;-2.852;48.535;135;27/02/2020;0,6;5,3;11,6;25,8;290;17,3;290;132;1,8
22372001;ST BRIEUC;-2.852;48.535;135;28/02/2020;9,5;3,3;12,6;19,2;220;9,5;210;24;0,3
