STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
02320001;ST QUENTIN;3,206;49,818;98;2020/01/15;1,0;8,8;11,2;17,4;210;11,8;190;57;1,8
02320001;ST QUENTIN;3,206;49,818;98;2020/01/16;0,6;1,6;12,9;11,5;170;7,5;170;328;0,6
02320001;ST QUENTIN;3,206;49,818;98;2020/01/17;0,6;5,5;10,7;19,1;270;10,5;260;127;1,2
02320001;ST QUENTIN;3,206;49,818;98;2020/01/18;0,0;1,6;6,9;8,8;240;6,1;240;296;0,7
02320001;ST QUENTIN;3,206;49,818;98;2020/01/19;0,0;-0,8;6,9;10,0;10;6,6;20;406;0,6
02320001;ST QUENTIN;3,206;49,818;98;2020/01/20;0,0;0,1;6,0;7,2;10;5,1;40;181;0,3
02320001;ST QUENTIN;3,206;49,818;98;2020/01/21;0,0;-1,6;5,1;5,1;10;3,7;20;472;0,6
02320001;ST QUENTIN;3,206;49,818;98;2020/01/22;0,0;-4,7;2,8;8,7;60;5,6;70;311;0,1
02320001;ST QUENTIN;3,206;49,818;98;2020/01/23;0,0;0,0;3,1;7,3;50;5,1;50;0;0,2
02320001;ST QUENTIN;3,206;49,818;98;2020/01/24;0,0;-0,4;0,7;6,3;120;4,5;150;0;0,2
02320001;ST QUENTIN;3,206;49,818;98;2020/01/25;0,0;-0,3;3,2;6,0;120;4,8;120;0;0,1
02320001;ST QUENTIN;3,206;49,818;98;2020/01/26;3,0;1,0;8,6;12,1;210;8,4;200;112;0,1
02320001;ST QUENTIN;3,206;49,818;98;2020/01/27;4,2;5,4;9,1;14,8;210;10,1;220;0;0,2
02320001;ST QUENTIN;3,206;49,818;98;2020/01/28;8,8;0,7;6,5;23,5;270;14,9;260;68;0,6
02320001;ST QUENTIN;3,206;49,818;98;2020/01/29;0,0;2,1;8,9;11,6;260;8,1;240;263;1,0
02320001;ST QUENTIN;3,206;49,818;98;2020/01/30;2,0;2,7;12,4;13,2;230;8,9;230;0;0,2
02320001;ST QUENTIN;3,206;49,818;98;2020/01/31;8,7;11,0;13,0;13,2;210;9,2;210;51;1,0
02320001;ST QUENTIN;3,206;49,818;98;2020/02/01;19,6;8,7;12,5;14,8;290;10,7;290;41;0,9
02320001;ST QUENTIN;3,206;49,818;98;2020/02/02;2,4;6,0;13,8;16,4;250;11,5;260;0;0,3
02320001;ST QUENTIN;3,206;49,818;98;2020/02/03;21,0;9,1;11,4;13,8;320;8,6;330;1;1,0
02320001;ST QUENTIN;3,206;49,818;98;2020/02/04;4,0;3,1;7,6;17,8;300;12,4;300;166;1,0
02320001;ST QUENTIN;3,206;49,818;98;2020/02/05;0,0;4,1;7,4;7,4;330;4,9;320;4;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/02/06;0,0;-0,3;7,8;5,4;80;3,9;90;521;0,5
02320001;ST QUENTIN;3,206;49,818;98;2020/02/07;0,0;-0,2;8,5;9,9;100;7,7;110;455;0,9
02320001;ST QUENTIN;3,206;49,818;98;2020/02/08;1,2;4,8;10,3;7,9;220;5,4;220;5;0,5
02320001;ST QUENTIN;3,206;49,818;98;2020/02/09;6,0;5,5;13,5;28,1;220;17,3;210;0;1,3
02320001;ST QUENTIN;3,206;49,818;98;2020/02/10;3,8;5,8;9,5;29,3;300;18,6;280;102;1,7
02320001;ST QUENTIN;3,206;49,818;98;2020/02/11;1,8;2,9;8,1;20,8;250;13,7;260;330;1,5
