STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/07;0.0;1.5;15.2;7.6;140;5.2;110;460;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/08;0.0;2.1;15.7;8.2;110;5.8;110;317;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/09;0.0;4.1;16.6;9.9;160;6.3;160;228;1.2
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/10;0.8;11.4;15.1;15.8;290;9.6;280;0;1.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/11;1.4;9.4;14.0;12.0;250;7.4;280;24;1.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/12;0.0;3.7;12.0;5.6;120;3.9;120;104;0.9
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/13;0.6;3.2;16.8;16.3;270;10.0;270;165;1.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/14;0.0;3.1;15.6;7.7;240;4.5;240;542;1.0
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/15;0.0;1.6;17.8;8.2;120;5.5;120;462;1.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/16;0.0;6.3;18.3;10.6;120;6.9;110;270;1.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/17;3.6;8.8;12.3;10.8;340;6.7;330;6;1.0
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/18;0.6;0.7;12.7;8.2;280;5.3;280;276;0.7
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/19;0.0;3.7;13.9;7.5;250;4.8;250;313;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/20;0.2;1.5;16.9;7.5;320;4.8;110;488;1.6
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/21;0.2;6.9;14.1;6.5;330;4.3;330;231;1.6
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/22;0.0;-1.2;16.6;5.9;340;3.8;110;542;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/23;0.0;1.0;11.6;3.9;350;2.7;120;104;0.7
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/24;0.0;0.5;10.9;8.1;290;5.4;280;162;0.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/25;3.6;3.2;13.2;14.0;260;8.2;290;78;0.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/26;5.0;6.9;10.6;16.2;280;8.3;290;154;1.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/27;5.7;7.4;14.9;17.2;260;11.0;280;50;1.3
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/28;1.2;4.4;15.8;7.6;120;5.3;120;67;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/02/29;0.0;7.4;13.8;13.0;280;8.1;280;6;1.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/01;20.5;8.8;15.5;19.8;240;11.3;270;172;2.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/02;8.3;6.6;12.2;23.7;280;13.9;290;165;1.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/03;16.8;4.9;8.0;11.3;50;7.9;60;17;0.3
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/04;4.8;4.5;13.3;9.8;240;6.1;240;0;0.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/05;13.6;10.4;13.2;22.0;250;12.0;290;50;1.7
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/06;5.2;5.6;10.1;23.9;280;12.7;290;169;1.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/07;0.0;4.5;12.7;9.4;290;6.4;290;348;1.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/08;4.0;7.4;15.9;14.2;310;9.1;300;105;1.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/09;3.4;7.8;13.2;13.6;300;8.5;280;196;2.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/10;0.0;8.6;16.8;10.5;260;6.5;280;96;2.2
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/11;0.0;9.2;15.5;4.5;220;2.4;140;116;1.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/12;0.2;4.5;15.0;8.0;330;5.7;320;0;0.8
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/03/13;0.0;6.3;13.7;7.5;330;4.8;330;563;2.2
